"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세"
"서울특별시  (1100000000)","9,765,623","690,368","690,368","4,773,899","353,981","353,981","4,991,724","336,387","336,387","9,729,107","662,693","662,693","4,744,059","340,334","340,334","4,985,048","322,359","322,359","9,668,465","623,745","623,745","4,701,723","320,275","320,275","4,966,742","303,470","303,470"
"서울특별시 종로구 (1111000000)","153,065","8,588","8,588","74,825","4,380","4,380","78,240","4,208","4,208","151,290","8,211","8,211","73,746","4,143","4,143","77,544","4,068","4,068","149,384","7,527","7,527","72,635","3,803","3,803","76,749","3,724","3,724"
"서울특별시 중구 (1114000000)","125,725","7,597","7,597","61,947","3,806","3,806","63,778","3,791","3,791","126,171","7,389","7,389","61,910","3,758","3,758","64,261","3,631","3,631","125,240","6,836","6,836","61,222","3,505","3,505","64,018","3,331","3,331"
"서울특별시 용산구 (1117000000)","228,999","14,706","14,706","110,640","7,601","7,601","118,359","7,105","7,105","228,670","14,132","14,132","110,356","7,310","7,310","118,314","6,822","6,822","230,040","13,496","13,496","110,722","6,970","6,970","119,318","6,526","6,526"
"서울특별시 성동구 (1120000000)","308,221","23,077","23,077","151,359","11,749","11,749","156,862","11,328","11,328","300,889","21,983","21,983","147,273","11,226","11,226","153,616","10,757","10,757","293,556","20,449","20,449","143,387","10,469","10,469","150,169","9,980","9,980"
"서울특별시 광진구 (1121500000)","355,559","23,182","23,182","172,794","11,914","11,914","182,765","11,268","11,268","351,350","21,657","21,657","170,262","11,115","11,115","181,088","10,542","10,542","346,682","19,572","19,572","167,310","9,977","9,977","179,372","9,595","9,595"
"서울특별시 동대문구 (1123000000)","348,052","22,896","22,896","173,567","11,792","11,792","174,485","11,104","11,104","346,194","22,115","22,115","172,113","11,361","11,361","174,081","10,754","10,754","342,837","20,788","20,788","169,769","10,662","10,662","173,068","10,126","10,126"
"서울특별시 중랑구 (1126000000)","403,209","26,293","26,293","200,419","13,448","13,448","202,790","12,845","12,845","397,015","24,712","24,712","196,959","12,733","12,733","200,056","11,979","11,979","394,702","23,064","23,064","195,165","11,921","11,921","199,537","11,143","11,143"
"서울특별시 성북구 (1129000000)","435,868","31,323","31,323","211,904","16,071","16,071","223,964","15,252","15,252","442,650","30,994","30,994","214,437","15,859","15,859","228,213","15,135","15,135","437,153","28,822","28,822","210,810","14,723","14,723","226,343","14,099","14,099"
"서울특별시 강북구 (1130500000)","319,164","18,921","18,921","156,071","9,728","9,728","163,093","9,193","9,193","313,954","17,420","17,420","153,235","8,960","8,960","160,719","8,460","8,460","308,055","15,714","15,714","150,143","8,162","8,162","157,912","7,552","7,552"
"서울특별시 도봉구 (1132000000)","339,413","22,184","22,184","166,160","11,446","11,446","173,253","10,738","10,738","333,362","20,665","20,665","163,051","10,685","10,685","170,311","9,980","9,980","325,257","18,775","18,775","158,620","9,720","9,720","166,637","9,055","9,055"
"서울특별시 노원구 (1135000000)","543,752","38,147","38,147","263,919","19,618","19,618","279,833","18,529","18,529","532,905","35,765","35,765","257,923","18,411","18,411","274,982","17,354","17,354","523,037","33,182","33,182","252,383","17,046","17,046","270,654","16,136","16,136"
"서울특별시 은평구 (1138000000)","483,197","33,399","33,399","233,702","17,123","17,123","249,495","16,276","16,276","480,032","31,683","31,683","231,528","16,220","16,220","248,504","15,463","15,463","479,835","29,704","29,704","230,279","15,210","15,210","249,556","14,494","14,494"
"서울특별시 서대문구 (1141000000)","310,313","21,180","21,180","149,569","10,806","10,806","160,744","10,374","10,374","309,397","20,395","20,395","148,663","10,468","10,468","160,734","9,927","9,927","312,173","20,175","20,175","149,360","10,267","10,267","162,813","9,908","9,908"
"서울특별시 마포구 (1144000000)","375,077","27,746","27,746","178,240","14,103","14,103","196,837","13,643","13,643","374,035","26,560","26,560","176,891","13,479","13,479","197,144","13,081","13,081","371,890","24,899","24,899","175,150","12,643","12,643","196,740","12,256","12,256"
"서울특별시 양천구 (1147000000)","464,185","34,792","34,792","228,634","17,802","17,802","235,551","16,990","16,990","458,165","33,156","33,156","225,186","17,069","17,069","232,979","16,087","16,087","454,251","31,552","31,552","222,824","16,235","16,235","231,427","15,317","15,317"
"서울특별시 강서구 (1150000000)","596,949","46,680","46,680","290,079","23,855","23,855","306,870","22,825","22,825","591,796","43,968","43,968","286,563","22,477","22,477","305,233","21,491","21,491","580,185","39,560","39,560","280,034","20,222","20,222","300,151","19,338","19,338"
"서울특별시 구로구 (1153000000)","404,497","31,394","31,394","200,417","15,941","15,941","204,080","15,453","15,453","406,664","30,501","30,501","200,987","15,563","15,563","205,677","14,938","14,938","404,408","28,199","28,199","199,673","14,406","14,406","204,735","13,793","13,793"
"서울특별시 금천구 (1154500000)","233,917","14,657","14,657","118,915","7,485","7,485","115,002","7,172","7,172","232,810","13,746","13,746","118,209","7,047","7,047","114,601","6,699","6,699","231,733","12,548","12,548","117,226","6,422","6,422","114,507","6,126","6,126"
"서울특별시 영등포구 (1156000000)","367,778","26,289","26,289","183,224","13,391","13,391","184,554","12,898","12,898","367,678","25,447","25,447","182,438","12,913","12,913","185,240","12,534","12,534","379,480","25,836","25,836","187,647","13,165","13,165","191,833","12,671","12,671"
"서울특별시 동작구 (1159000000)","396,203","27,883","27,883","192,533","14,180","14,180","203,670","13,703","13,703","395,963","26,596","26,596","191,976","13,542","13,542","203,987","13,054","13,054","391,220","24,564","24,564","189,152","12,528","12,528","202,068","12,036","12,036"
"서울특별시 관악구 (1162000000)","501,957","27,165","27,165","252,160","14,009","14,009","249,797","13,156","13,156","500,094","25,097","25,097","251,009","12,921","12,921","249,085","12,176","12,176","495,060","22,372","22,372","248,339","11,499","11,499","246,721","10,873","10,873"
"서울특별시 서초구 (1165000000)","433,951","37,467","37,467","207,868","19,275","19,275","226,083","18,192","18,192","430,826","36,001","36,001","206,039","18,623","18,623","224,787","17,378","17,378","425,126","33,851","33,851","203,359","17,490","17,490","221,767","16,361","16,361"
"서울특별시 강남구 (1168000000)","542,364","39,242","39,242","259,611","20,233","20,233","282,753","19,009","19,009","545,169","38,704","38,704","260,806","20,019","20,019","284,363","18,685","18,685","539,231","36,766","36,766","257,999","19,051","19,051","281,232","17,715","17,715"
"서울특별시 송파구 (1171000000)","666,635","53,769","53,769","323,526","27,739","27,739","343,109","26,030","26,030","675,961","53,634","53,634","327,164","27,712","27,712","348,797","25,922","25,922","667,960","50,744","50,744","322,299","26,202","26,202","345,661","24,542","24,542"
"서울특별시 강동구 (1174000000)","427,573","31,791","31,791","211,816","16,486","16,486","215,757","15,305","15,305","436,067","32,162","32,162","215,335","16,720","16,720","220,732","15,442","15,442","459,970","34,750","34,750","226,216","17,977","17,977","233,754","16,773","16,773"
"부산광역시  (2600000000)","3,441,453","251,442","251,442","1,692,421","129,189","129,189","1,749,032","122,253","122,253","3,413,841","243,321","243,321","1,675,417","124,927","124,927","1,738,424","118,394","118,394","3,391,946","232,356","232,356","1,661,000","119,173","119,173","1,730,946","113,183","113,183"
"부산광역시 중구 (2611000000)","42,795","1,699","1,699","20,992","887","887","21,803","812","812","41,910","1,495","1,495","20,557","785","785","21,353","710","710","41,523","1,320","1,320","20,282","689","689","21,241","631","631"
"부산광역시 서구 (2614000000)","110,534","6,034","6,034","53,978","3,173","3,173","56,556","2,861","2,861","108,229","5,743","5,743","52,627","2,993","2,993","55,602","2,750","2,750","108,135","5,622","5,622","52,341","2,917","2,917","55,794","2,705","2,705"
"부산광역시 동구 (2617000000)","86,912","4,083","4,083","42,830","2,132","2,132","44,082","1,951","1,951","88,165","4,164","4,164","43,327","2,179","2,179","44,838","1,985","1,985","88,901","4,085","4,085","43,509","2,149","2,149","45,392","1,936","1,936"
"부산광역시 영도구 (2620000000)","120,109","6,127","6,127","59,429","3,114","3,114","60,680","3,013","3,013","116,711","5,735","5,735","57,629","2,890","2,890","59,082","2,845","2,845","113,342","5,139","5,139","55,846","2,593","2,593","57,496","2,546","2,546"
"부산광역시 부산진구 (2623000000)","362,357","23,592","23,592","176,316","12,043","12,043","186,041","11,549","11,549","357,880","22,339","22,339","173,446","11,375","11,375","184,434","10,964","10,964","359,886","21,318","21,318","173,920","10,780","10,780","185,966","10,538","10,538"
"부산광역시 동래구 (2626000000)","266,515","19,164","19,164","130,338","9,952","9,952","136,177","9,212","9,212","271,247","19,984","19,984","132,295","10,302","10,302","138,952","9,682","9,682","270,745","19,635","19,635","131,735","10,177","10,177","139,010","9,458","9,458"
"부산광역시 남구 (2629000000)","279,917","20,432","20,432","137,437","10,386","10,386","142,480","10,046","10,046","274,480","19,571","19,571","134,519","9,965","9,965","139,961","9,606","9,606","267,731","18,052","18,052","131,037","9,210","9,210","136,694","8,842","8,842"
"부산광역시 북구 (2632000000)","296,952","21,660","21,660","147,233","11,115","11,115","149,719","10,545","10,545","291,132","20,476","20,476","144,229","10,540","10,540","146,903","9,936","9,936","283,952","18,994","18,994","140,527","9,822","9,822","143,425","9,172","9,172"
"부산광역시 해운대구 (2635000000)","409,347","30,723","30,723","197,871","16,004","16,004","211,476","14,719","14,719","406,102","29,752","29,752","195,960","15,495","15,495","210,142","14,257","14,257","402,169","28,511","28,511","193,618","14,753","14,753","208,551","13,758","13,758"
"부산광역시 사하구 (2638000000)","327,791","23,638","23,638","163,766","12,114","12,114","164,025","11,524","11,524","321,004","21,982","21,982","160,101","11,244","11,244","160,903","10,738","10,738","311,757","19,969","19,969","155,228","10,240","10,240","156,529","9,729","9,729"
"부산광역시 금정구 (2641000000)","242,956","14,899","14,899","119,261","7,704","7,704","123,695","7,195","7,195","239,062","14,162","14,162","117,070","7,313","7,313","121,992","6,849","6,849","232,666","13,033","13,033","113,595","6,663","6,663","119,071","6,370","6,370"
"부산광역시 강서구 (2644000000)","122,957","18,602","18,602","63,491","9,511","9,511","59,466","9,091","9,091","129,566","19,380","19,380","66,982","9,947","9,947","62,584","9,433","9,433","137,957","20,095","20,095","71,245","10,326","10,326","66,712","9,769","9,769"
"부산광역시 연제구 (2647000000)","207,840","15,429","15,429","100,789","7,889","7,889","107,051","7,540","7,540","209,395","15,444","15,444","101,253","7,872","7,872","108,142","7,572","7,572","209,157","14,747","14,747","100,700","7,511","7,511","108,457","7,236","7,236"
"부산광역시 수영구 (2650000000)","176,246","10,785","10,785","83,852","5,532","5,532","92,394","5,253","5,253","176,148","10,571","10,571","83,565","5,439","5,439","92,583","5,132","5,132","176,894","10,328","10,328","83,573","5,309","5,309","93,321","5,019","5,019"
"부산광역시 사상구 (2653000000)","223,361","14,750","14,750","113,240","7,539","7,539","110,121","7,211","7,211","218,094","13,720","13,720","110,286","7,001","7,001","107,808","6,719","6,719","212,586","12,355","12,355","107,405","6,292","6,292","105,181","6,063","6,063"
"부산광역시 기장군 (2671000000)","164,864","19,825","19,825","81,598","10,094","10,094","83,266","9,731","9,731","164,716","18,803","18,803","81,571","9,587","9,587","83,145","9,216","9,216","174,545","19,153","19,153","86,439","9,742","9,742","88,106","9,411","9,411"
"대구광역시  (2700000000)","2,461,769","194,953","194,953","1,219,342","99,981","99,981","1,242,427","94,972","94,972","2,438,031","188,312","188,312","1,205,286","96,593","96,593","1,232,745","91,719","91,719","2,418,346","178,226","178,226","1,193,109","91,285","91,285","1,225,237","86,941","86,941"
"대구광역시 중구 (2711000000)","79,401","5,744","5,744","38,498","2,978","2,978","40,903","2,766","2,766","77,421","5,514","5,514","37,384","2,835","2,835","40,037","2,679","2,679","76,547","5,142","5,142","36,799","2,655","2,655","39,748","2,487","2,487"
"대구광역시 동구 (2714000000)","351,291","28,571","28,571","173,955","14,765","14,765","177,336","13,806","13,806","345,469","27,103","27,103","170,601","13,890","13,890","174,868","13,213","13,213","341,920","25,193","25,193","168,443","12,867","12,867","173,477","12,326","12,326"
"대구광역시 서구 (2717000000)","184,372","9,287","9,287","92,796","4,707","4,707","91,576","4,580","4,580","175,277","8,325","8,325","88,052","4,252","4,252","87,225","4,073","4,073","170,700","7,564","7,564","85,572","3,912","3,912","85,128","3,652","3,652"
"대구광역시 남구 (2720000000)","150,501","7,520","7,520","72,664","3,842","3,842","77,837","3,678","3,678","148,113","7,278","7,278","71,366","3,802","3,802","76,747","3,476","3,476","146,632","6,821","6,821","70,471","3,525","3,525","76,161","3,296","3,296"
"대구광역시 북구 (2723000000)","439,489","36,774","36,774","219,307","18,790","18,790","220,182","17,984","17,984","437,710","35,406","35,406","218,150","18,169","18,169","219,560","17,237","17,237","440,263","34,031","34,031","219,197","17,393","17,393","221,066","16,638","16,638"
"대구광역시 수성구 (2726000000)","432,759","31,851","31,851","210,621","16,415","16,415","222,138","15,436","15,436","428,614","30,996","30,996","208,024","15,940","15,940","220,590","15,056","15,056","424,314","29,784","29,784","205,293","15,320","15,320","219,021","14,464","14,464"
"대구광역시 달서구 (2729000000)","573,413","45,262","45,262","284,127","23,290","23,290","289,286","21,972","21,972","568,887","43,368","43,368","281,348","22,263","22,263","287,539","21,105","21,105","558,631","40,273","40,273","275,626","20,617","20,617","283,005","19,656","19,656"
"대구광역시 달성군 (2771000000)","250,543","29,944","29,944","127,374","15,194","15,194","123,169","14,750","14,750","256,540","30,322","30,322","130,361","15,442","15,442","126,179","14,880","14,880","259,339","29,418","29,418","131,708","14,996","14,996","127,631","14,422","14,422"
"인천광역시  (2800000000)","2,954,642","251,301","251,301","1,481,844","128,889","128,889","1,472,798","122,412","122,412","2,957,026","242,400","242,400","1,482,249","124,383","124,383","1,474,777","118,017","118,017","2,942,828","228,634","228,634","1,473,943","117,356","117,356","1,468,885","111,278","111,278"
"인천광역시 중구 (2811000000)","122,499","10,801","10,801","63,700","5,495","5,495","58,799","5,306","5,306","135,135","12,105","12,105","70,063","6,264","6,264","65,072","5,841","5,841","139,729","11,895","11,895","72,485","6,128","6,128","67,244","5,767","5,767"
"인천광역시 중구영종출장소 (2811400000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","66,233","4,790","4,790","33,433","2,489","2,489","32,800","2,301","2,301","64,427","4,344","4,344","32,536","2,284","2,284","31,891","2,060","2,060","62,542","3,742","3,742","31,575","1,964","1,964","30,967","1,778","1,778"
"인천광역시 미추홀구 (2817700000)","416,542","31,469","31,469","210,088","16,138","16,138","206,454","15,331","15,331","408,862","29,269","29,269","206,129","14,945","14,945","202,733","14,324","14,324","404,343","27,193","27,193","203,638","13,912","13,912","200,705","13,281","13,281"
"인천광역시 연수구 (2818500000)","346,359","34,448","34,448","172,298","17,597","17,597","174,061","16,851","16,851","366,550","36,242","36,242","182,374","18,539","18,539","184,176","17,703","17,703","387,450","38,415","38,415","192,570","19,554","19,554","194,880","18,861","18,861"
"인천광역시 남동구 (2820000000)","537,161","48,468","48,468","267,426","24,869","24,869","269,735","23,599","23,599","532,704","45,640","45,640","264,955","23,456","23,456","267,749","22,184","22,184","525,354","41,814","41,814","260,923","21,501","21,501","264,431","20,313","20,313"
"인천광역시 부평구 (2823700000)","524,640","39,769","39,769","260,144","20,336","20,336","264,496","19,433","19,433","511,577","36,587","36,587","253,338","18,697","18,697","258,239","17,890","17,890","494,962","32,905","32,905","244,713","16,846","16,846","250,249","16,059","16,059"
"인천광역시 계양구 (2824500000)","312,680","22,543","22,543","156,128","11,483","11,483","156,552","11,060","11,060","303,471","20,553","20,553","151,569","10,457","10,457","151,902","10,096","10,096","296,750","18,490","18,490","147,976","9,385","9,385","148,774","9,105","9,105"
"인천광역시 서구 (2826000000)","538,596","54,477","54,477","272,153","28,145","28,145","266,443","26,332","26,332","544,556","53,304","53,304","274,942","27,502","27,502","269,614","25,802","25,802","542,040","49,907","49,907","273,778","25,830","25,830","268,262","24,077","24,077"
"인천광역시 서구검단출장소 (2826500000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","68,896","3,403","3,403","34,546","1,758","1,758","34,350","1,645","1,645","69,178","3,332","3,332","34,665","1,716","1,716","34,513","1,616","1,616","69,203","3,334","3,334","34,644","1,754","1,754","34,559","1,580","1,580"
"인천광역시 옹진군 (2872000000)","21,036","1,133","1,133","11,928","579","579","9,108","554","554","20,566","1,024","1,024","11,678","523","523","8,888","501","501","20,455","939","939","11,641","482","482","8,814","457","457"
"광주광역시  (2900000000)","1,459,336","131,277","131,277","722,581","67,673","67,673","736,755","63,604","63,604","1,456,468","126,519","126,519","720,740","65,084","65,084","735,728","61,435","61,435","1,450,062","119,692","119,692","717,348","61,487","61,487","732,714","58,205","58,205"
"광주광역시 동구 (2911000000)","94,475","6,073","6,073","46,902","3,153","3,153","47,573","2,920","2,920","98,585","6,615","6,615","48,799","3,437","3,437","49,786","3,178","3,178","102,897","7,173","7,173","50,810","3,711","3,711","52,087","3,462","3,462"
"광주광역시 서구 (2914000000)","304,172","24,829","24,829","149,540","12,880","12,880","154,632","11,949","11,949","300,975","23,463","23,463","147,671","12,191","12,191","153,304","11,272","11,272","296,576","21,775","21,775","145,374","11,322","11,322","151,202","10,453","10,453"
"광주광역시 남구 (2915500000)","216,369","18,028","18,028","104,337","9,255","9,255","112,032","8,773","8,773","218,060","18,275","18,275","105,027","9,325","9,325","113,033","8,950","8,950","214,579","17,283","17,283","103,257","8,856","8,856","111,322","8,427","8,427"
"광주광역시 북구 (2917000000)","439,773","37,188","37,188","218,323","19,178","19,178","221,450","18,010","18,010","433,533","35,183","35,183","215,260","18,013","18,013","218,273","17,170","17,170","430,431","33,549","33,549","213,611","17,135","17,135","216,820","16,414","16,414"
"광주광역시 광산구 (2920000000)","404,547","45,159","45,159","203,479","23,207","23,207","201,068","21,952","21,952","405,315","42,983","42,983","203,983","22,118","22,118","201,332","20,865","20,865","405,579","39,912","39,912","204,296","20,463","20,463","201,283","19,449","19,449"
"대전광역시  (3000000000)","1,489,936","128,497","128,497","744,338","66,139","66,139","745,598","62,358","62,358","1,474,870","121,829","121,829","736,607","62,600","62,600","738,263","59,229","59,229","1,463,882","114,529","114,529","730,699","58,822","58,822","733,183","55,707","55,707"
"대전광역시 동구 (3011000000)","229,071","17,354","17,354","115,735","8,957","8,957","113,336","8,397","8,397","226,771","16,248","16,248","114,447","8,375","8,375","112,324","7,873","7,873","223,021","15,010","15,010","112,416","7,725","7,725","110,605","7,285","7,285"
"대전광역시 중구 (3014000000)","244,421","17,850","17,850","121,056","9,121","9,121","123,365","8,729","8,729","240,473","16,647","16,647","118,864","8,505","8,505","121,609","8,142","8,142","235,550","15,174","15,174","116,233","7,763","7,763","119,317","7,411","7,411"
"대전광역시 서구 (3017000000)","484,663","41,804","41,804","238,678","21,526","21,526","245,985","20,278","20,278","481,222","40,343","40,343","236,851","20,718","20,718","244,371","19,625","19,625","477,880","38,092","38,092","235,112","19,661","19,661","242,768","18,431","18,431"
"대전광역시 유성구 (3020000000)","349,790","38,458","38,458","176,412","19,847","19,847","173,378","18,611","18,611","349,373","36,686","36,686","176,415","18,950","18,950","172,958","17,736","17,736","351,047","34,946","34,946","177,240","17,980","17,980","173,807","16,966","16,966"
"대전광역시 대덕구 (3023000000)","181,991","13,031","13,031","92,457","6,688","6,688","89,534","6,343","6,343","177,031","11,905","11,905","90,030","6,052","6,052","87,001","5,853","5,853","176,384","11,307","11,307","89,698","5,693","5,693","86,686","5,614","5,614"
"울산광역시  (3100000000)","1,155,623","108,363","108,363","593,819","55,907","55,907","561,804","52,456","52,456","1,148,019","104,371","104,371","589,712","53,757","53,757","558,307","50,614","50,614","1,136,017","98,506","98,506","583,708","50,619","50,619","552,309","47,887","47,887"
"울산광역시 중구 (3111000000)","231,973","19,787","19,787","117,934","10,349","10,349","114,039","9,438","9,438","223,581","18,033","18,033","113,526","9,352","9,352","110,055","8,681","8,681","217,595","16,638","16,638","110,201","8,579","8,579","107,394","8,059","8,059"
"울산광역시 남구 (3114000000)","330,732","26,347","26,347","168,494","13,583","13,583","162,238","12,764","12,764","323,819","24,869","24,869","165,062","12,822","12,822","158,757","12,047","12,047","320,064","23,877","23,877","163,198","12,295","12,295","156,866","11,582","11,582"
"울산광역시 동구 (3117000000)","164,642","17,605","17,605","86,127","9,043","9,043","78,515","8,562","8,562","159,656","16,188","16,188","83,391","8,330","8,330","76,265","7,858","7,858","156,806","14,889","14,889","81,999","7,618","7,618","74,807","7,271","7,271"
"울산광역시 북구 (3120000000)","206,434","24,903","24,903","106,750","12,828","12,828","99,684","12,075","12,075","217,796","26,241","26,241","112,588","13,455","13,455","105,208","12,786","12,786","219,014","25,296","25,296","113,392","12,989","12,989","105,622","12,307","12,307"
"울산광역시 울주군 (3171000000)","221,842","19,721","19,721","114,514","10,104","10,104","107,328","9,617","9,617","223,167","19,040","19,040","115,145","9,798","9,798","108,022","9,242","9,242","222,538","17,806","17,806","114,918","9,138","9,138","107,620","8,668","8,668"
"세종특별자치시  (3600000000)","314,126","44,452","44,452","156,831","22,778","22,778","157,295","21,674","21,674","340,575","47,249","47,249","169,845","24,152","24,152","170,730","23,097","23,097","355,831","47,283","47,283","177,568","24,188","24,188","178,263","23,095","23,095"
"세종특별자치시  (3611000000)","314,126","44,452","44,452","156,831","22,778","22,778","157,295","21,674","21,674","340,575","47,249","47,249","169,845","24,152","24,152","170,730","23,097","23,097","355,831","47,283","47,283","177,568","24,188","24,188","178,263","23,095","23,095"
"경기도  (4100000000)","13,077,153","1,209,856","1,209,856","6,577,501","620,423","620,423","6,499,652","589,433","589,433","13,239,666","1,184,990","1,184,990","6,659,995","607,414","607,414","6,579,671","577,576","577,576","13,427,014","1,145,984","1,145,984","6,754,469","586,787","586,787","6,672,545","559,197","559,197"
"북부출장소  (4110500000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,201,166","109,574","109,574","604,918","56,513","56,513","596,248","53,061","53,061","1,194,465","104,305","104,305","601,410","53,806","53,806","593,055","50,499","50,499","1,186,078","97,114","97,114","597,076","50,095","50,095","589,002","47,019","47,019"
"경기도 수원시 장안구 (4111100000)","286,433","22,246","22,246","144,163","11,557","11,557","142,270","10,689","10,689","278,377","20,092","20,092","140,218","10,416","10,416","138,159","9,676","9,676","273,661","18,341","18,341","137,807","9,471","9,471","135,854","8,870","8,870"
"경기도 수원시 권선구 (4111300000)","377,647","36,935","36,935","190,493","18,988","18,988","187,154","17,947","17,947","371,754","34,659","34,659","187,627","17,825","17,825","184,127","16,834","16,834","368,645","32,512","32,512","186,050","16,762","16,762","182,595","15,750","15,750"
"경기도 수원시 팔달구 (4111500000)","180,974","11,673","11,673","91,091","5,989","5,989","89,883","5,684","5,684","175,866","10,457","10,457","88,523","5,283","5,283","87,343","5,174","5,174","174,930","9,483","9,483","88,180","4,807","4,807","86,750","4,676","4,676"
