"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세"
"경기도 수원시 영통구 (4111700000)","356,112","38,720","38,720","179,171","19,979","19,979","176,941","18,741","18,741","368,468","39,097","39,097","185,042","20,282","20,282","183,426","18,815","18,815","368,842","36,778","36,778","185,039","19,055","19,055","183,803","17,723","17,723"
"경기도 성남시 (4113000000)","954,347","75,666","75,666","472,506","38,824","38,824","481,841","36,842","36,842","942,724","72,005","72,005","466,644","36,902","36,902","476,080","35,103","35,103","940,064","68,835","68,835","465,407","35,249","35,249","474,657","33,586","33,586"
"경기도 성남시 수정구 (4113100000)","234,133","16,541","16,541","118,563","8,418","8,418","115,570","8,123","8,123","234,678","16,074","16,074","118,631","8,134","8,134","116,047","7,940","7,940","241,701","15,869","15,869","122,204","8,005","8,005","119,497","7,864","7,864"
"경기도 성남시 중원구 (4113300000)","224,885","15,346","15,346","113,912","7,926","7,926","110,973","7,420","7,420","220,041","14,246","14,246","111,444","7,373","7,373","108,597","6,873","6,873","216,131","13,260","13,260","109,444","6,815","6,815","106,687","6,445","6,445"
"경기도 성남시 분당구 (4113500000)","495,329","43,779","43,779","240,031","22,480","22,480","255,298","21,299","21,299","488,005","41,685","41,685","236,569","21,395","21,395","251,436","20,290","20,290","482,232","39,706","39,706","233,759","20,429","20,429","248,473","19,277","19,277"
"경기도 의정부시 (4115000000)","447,026","36,043","36,043","220,360","18,501","18,501","226,666","17,542","17,542","451,868","35,273","35,273","222,590","18,201","18,201","229,278","17,072","17,072","461,710","34,453","34,453","227,342","17,819","17,819","234,368","16,634","16,634"
"경기도 안양시 (4117000000)","576,831","45,064","45,064","285,816","22,999","22,999","291,015","22,065","22,065","567,044","42,767","42,767","280,652","21,792","21,792","286,392","20,975","20,975","550,027","39,294","39,294","271,936","19,998","19,998","278,091","19,296","19,296"
"경기도 안양시 만안구 (4117100000)","251,512","17,983","17,983","126,059","9,130","9,130","125,453","8,853","8,853","244,235","16,841","16,841","122,326","8,545","8,545","121,909","8,296","8,296","239,413","15,560","15,560","119,864","7,883","7,883","119,549","7,677","7,677"
"경기도 안양시 동안구 (4117300000)","325,319","27,081","27,081","159,757","13,869","13,869","165,562","13,212","13,212","322,809","25,926","25,926","158,326","13,247","13,247","164,483","12,679","12,679","310,614","23,734","23,734","152,072","12,115","12,115","158,542","11,619","11,619"
"경기도 부천시 (4119000000)","843,768","66,236","66,236","420,179","33,943","33,943","423,589","32,293","32,293","829,996","61,998","61,998","412,500","31,753","31,753","417,496","30,245","30,245","818,383","57,224","57,224","406,023","29,381","29,381","412,360","27,843","27,843"
"경기도 광명시 (4121000000)","326,841","27,919","27,919","161,734","14,334","14,334","165,107","13,585","13,585","316,552","25,724","25,724","156,405","13,175","13,175","160,147","12,549","12,549","298,599","23,283","23,283","147,278","11,938","11,938","151,321","11,345","11,345"
"경기도 평택시 (4122000000)","495,642","47,583","47,583","254,336","24,393","24,393","241,306","23,190","23,190","513,027","48,243","48,243","264,012","24,714","24,714","249,015","23,529","23,529","537,307","49,153","49,153","277,617","25,032","25,032","259,690","24,121","24,121"
"경기도 송탄출장소 (4122200000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","96,226","7,495","7,495","47,988","3,841","3,841","48,238","3,654","3,654","94,768","6,922","6,922","47,308","3,591","3,591","47,460","3,331","3,331","94,353","6,298","6,298","47,038","3,262","3,262","47,315","3,036","3,036"
"경기도 안산시 (4127000000)","660,343","49,519","49,519","338,701","25,260","25,260","321,642","24,259","24,259","650,918","46,439","46,439","333,766","23,665","23,665","317,152","22,774","22,774","654,915","44,632","44,632","335,804","22,718","22,718","319,111","21,914","21,914"
"경기도 안산시 상록구 (4127100000)","356,311","26,384","26,384","181,742","13,537","13,537","174,569","12,847","12,847","344,613","23,943","23,943","175,789","12,230","12,230","168,824","11,713","11,713","351,888","23,696","23,696","179,452","12,013","12,013","172,436","11,683","11,683"
"경기도 안산시 단원구 (4127300000)","304,032","23,135","23,135","156,959","11,723","11,723","147,073","11,412","11,412","306,305","22,496","22,496","157,977","11,435","11,435","148,328","11,061","11,061","303,027","20,936","20,936","156,352","10,705","10,705","146,675","10,231","10,231"
"경기도 고양시 (4128000000)","1,044,189","85,339","85,339","512,359","43,800","43,800","531,830","41,539","41,539","1,066,351","84,813","84,813","522,749","43,244","43,244","543,602","41,569","41,569","1,079,216","82,122","82,122","528,480","41,892","41,892","550,736","40,230","40,230"
"경기도 고양시 덕양구 (4128100000)","450,449","38,560","38,560","223,323","19,785","19,785","227,126","18,775","18,775","466,157","38,863","38,863","230,858","19,801","19,801","235,299","19,062","19,062","476,962","38,582","38,582","235,773","19,688","19,688","241,189","18,894","18,894"
"경기도 고양시 일산동구 (4128500000)","296,223","22,310","22,310","144,394","11,483","11,483","151,829","10,827","10,827","297,671","21,857","21,857","144,991","11,205","11,205","152,680","10,652","10,652","299,716","20,860","20,860","145,874","10,656","10,656","153,842","10,204","10,204"
"경기도 고양시 일산서구 (4128700000)","297,517","24,469","24,469","144,642","12,532","12,532","152,875","11,937","11,937","302,523","24,093","24,093","146,900","12,238","12,238","155,623","11,855","11,855","302,538","22,680","22,680","146,833","11,548","11,548","155,705","11,132","11,132"
"경기도 과천시 (4129000000)","58,142","4,489","4,489","28,423","2,337","2,337","29,719","2,152","2,152","58,289","4,507","4,507","28,638","2,374","2,374","29,651","2,133","2,133","63,231","5,175","5,175","31,068","2,700","2,700","32,163","2,475","2,475"
"경기도 구리시 (4131000000)","203,553","17,603","17,603","101,084","9,087","9,087","102,469","8,516","8,516","199,265","16,345","16,345","98,968","8,446","8,446","100,297","7,899","7,899","197,454","15,199","15,199","97,939","7,852","7,852","99,515","7,347","7,347"
"경기도 남양주시 (4136000000)","681,828","67,867","67,867","340,030","34,833","34,833","341,798","33,034","33,034","701,830","67,577","67,577","349,664","34,744","34,744","352,166","32,833","32,833","713,321","64,926","64,926","355,197","33,359","33,359","358,124","31,567","31,567"
"경기도 풍양출장소 (4136200000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","220,070","26,142","26,142","113,237","13,431","13,431","106,833","12,711","12,711","226,379","25,263","25,263","116,904","12,933","12,933","109,475","12,330","12,330","229,725","23,784","23,784","118,785","12,105","12,105","110,940","11,679","11,679"
"경기도 시흥시 (4139000000)","448,687","44,256","44,256","234,840","22,700","22,700","213,847","21,556","21,556","473,682","46,800","46,800","247,804","23,935","23,935","225,878","22,865","22,865","500,895","48,317","48,317","261,730","24,606","24,606","239,165","23,711","23,711"
"경기도 군포시 (4141000000)","276,916","23,909","23,909","137,536","12,323","12,323","139,380","11,586","11,586","275,852","22,602","22,602","136,878","11,620","11,620","138,974","10,982","10,982","273,791","20,630","20,630","135,834","10,547","10,547","137,957","10,083","10,083"
"경기도 의왕시 (4143000000)","153,932","12,522","12,522","76,834","6,458","6,458","77,098","6,064","6,064","161,153","13,101","13,101","80,353","6,800","6,800","80,800","6,301","6,301","163,795","13,162","13,162","81,470","6,817","6,817","82,325","6,345","6,345"
"경기도 하남시 (4145000000)","254,415","28,362","28,362","127,865","14,504","14,504","126,550","13,858","13,858","272,455","29,647","29,647","136,985","15,178","15,178","135,470","14,469","14,469","293,452","30,194","30,194","147,424","15,438","15,438","146,028","14,756","14,756"
"경기도 용인시 (4146000000)","1,035,126","107,447","107,447","514,127","55,041","55,041","520,999","52,406","52,406","1,059,609","105,455","105,455","525,946","53,977","53,977","533,663","51,478","51,478","1,074,176","100,771","100,771","532,847","51,507","51,507","541,329","49,264","49,264"
"경기도 용인시 처인구 (4146100000)","249,118","22,765","22,765","127,616","11,674","11,674","121,502","11,091","11,091","253,896","22,326","22,326","130,034","11,396","11,396","123,862","10,930","10,930","257,498","21,222","21,222","131,974","10,834","10,834","125,524","10,388","10,388"
"경기도 용인시 기흥구 (4146300000)","427,719","47,518","47,518","211,619","24,404","24,404","216,100","23,114","23,114","436,679","45,852","45,852","215,796","23,567","23,567","220,883","22,285","22,285","440,835","42,799","42,799","217,663","21,958","21,958","223,172","20,841","20,841"
"경기도 용인시 수지구 (4146500000)","358,289","37,164","37,164","174,892","18,963","18,963","183,397","18,201","18,201","369,034","37,277","37,277","180,116","19,014","19,014","188,918","18,263","18,263","375,843","36,750","36,750","183,210","18,715","18,715","192,633","18,035","18,035"
"경기도 파주시 (4148000000)","451,848","47,105","47,105","229,250","23,970","23,970","222,598","23,135","23,135","454,040","45,350","45,350","230,461","23,090","23,090","223,579","22,260","22,260","465,617","44,314","44,314","236,049","22,654","22,654","229,568","21,660","21,660"
"경기도 이천시 (4150000000)","214,206","20,679","20,679","109,878","10,709","10,709","104,328","9,970","9,970","215,834","19,997","19,997","111,244","10,338","10,338","104,590","9,659","9,659","218,388","18,823","18,823","112,947","9,729","9,729","105,441","9,094","9,094"
"경기도 안성시 (4155000000)","183,579","15,844","15,844","94,095","8,128","8,128","89,484","7,716","7,716","183,405","14,940","14,940","94,227","7,669","7,669","89,178","7,271","7,271","187,012","14,048","14,048","96,355","7,219","7,219","90,657","6,829","6,829"
"경기도 김포시 (4157000000)","423,170","52,060","52,060","212,410","26,623","26,623","210,760","25,437","25,437","437,221","52,071","52,071","219,552","26,669","26,669","217,669","25,402","25,402","473,970","55,253","55,253","237,507","28,161","28,161","236,463","27,092","27,092"
"경기도 화성시 (4159000000)","758,722","101,365","101,365","392,871","51,823","51,823","365,851","49,542","49,542","815,396","105,609","105,609","422,470","54,027","54,027","392,926","51,582","51,582","855,248","104,485","104,485","443,841","53,416","53,416","411,407","51,069","51,069"
"경기도 화성시동부출장소 (4159200000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"경기도 광주시 (4161000000)","363,782","36,442","36,442","186,309","18,696","18,696","177,473","17,746","17,746","372,654","36,223","36,223","190,774","18,624","18,624","181,880","17,599","17,599","382,054","35,190","35,190","195,298","18,074","18,074","186,756","17,116","17,116"
"경기도 양주시 (4163000000)","216,951","19,974","19,974","109,978","10,171","10,171","106,973","9,803","9,803","222,314","19,814","19,814","112,775","10,115","10,115","109,539","9,699","9,699","230,359","19,940","19,940","116,916","10,178","10,178","113,443","9,762","9,762"
"경기도 포천시 (4165000000)","150,676","10,143","10,143","79,310","5,242","5,242","71,366","4,901","4,901","148,379","9,318","9,318","78,231","4,826","4,826","70,148","4,492","4,492","147,274","8,579","8,579","77,905","4,439","4,439","69,369","4,140","4,140"
"경기도 여주시 (4167000000)","111,525","8,206","8,206","56,479","4,278","4,278","55,046","3,928","3,928","111,083","7,716","7,716","56,427","4,009","4,009","54,656","3,707","3,707","111,897","7,414","7,414","56,838","3,813","3,813","55,059","3,601","3,601"
"경기도 연천군 (4180000000)","44,633","3,204","3,204","23,364","1,644","1,644","21,269","1,560","1,560","43,824","2,939","2,939","22,962","1,502","1,502","20,862","1,437","1,437","43,516","2,730","2,730","22,799","1,394","1,394","20,717","1,336","1,336"
"경기도 가평군 (4182000000)","62,918","3,836","3,836","32,288","1,934","1,934","30,630","1,902","1,902","62,415","3,607","3,607","32,042","1,796","1,796","30,373","1,811","1,811","62,377","3,344","3,344","32,156","1,663","1,663","30,221","1,681","1,681"
"경기도 양평군 (4183000000)","116,095","7,963","7,963","58,396","4,083","4,083","57,699","3,880","3,880","116,874","7,620","7,620","58,654","3,899","3,899","58,220","3,721","3,721","118,810","7,298","7,298","59,563","3,732","3,732","59,247","3,566","3,566"
"강원도  (4200000000)","1,543,052","112,664","112,664","776,456","57,639","57,639","766,596","55,025","55,025","1,541,502","109,556","109,556","775,386","56,078","56,078","766,116","53,478","53,478","1,542,840","105,598","105,598","776,505","54,030","54,030","766,335","51,568","51,568"
"동해출장소  (4210500000)","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"강원도 춘천시 (4211000000)","280,640","22,634","22,634","138,243","11,583","11,583","142,397","11,051","11,051","281,291","22,272","22,272","138,700","11,408","11,408","142,591","10,864","10,864","282,765","21,669","21,669","139,576","11,116","11,116","143,189","10,553","10,553"
"강원도 원주시 (4213000000)","344,070","29,037","29,037","171,048","14,781","14,781","173,022","14,256","14,256","349,215","28,801","28,801","173,425","14,667","14,667","175,790","14,134","14,134","354,376","28,302","28,302","175,939","14,424","14,424","178,437","13,878","13,878"
"강원도 강릉시 (4215000000)","212,957","14,512","14,512","105,697","7,503","7,503","107,260","7,009","7,009","213,442","14,037","14,037","105,893","7,274","7,274","107,549","6,763","6,763","213,321","13,488","13,488","105,794","6,966","6,966","107,527","6,522","6,522"
"강원도 동해시 (4217000000)","91,272","7,306","7,306","46,212","3,735","3,735","45,060","3,571","3,571","90,522","6,876","6,876","45,845","3,543","3,543","44,677","3,333","3,333","90,593","6,625","6,625","45,991","3,414","3,414","44,602","3,211","3,211"
"강원도 태백시 (4219000000)","44,858","3,113","3,113","22,612","1,558","1,558","22,246","1,555","1,555","43,866","2,862","2,862","22,168","1,456","1,456","21,698","1,406","1,406","42,719","2,574","2,574","21,640","1,338","1,338","21,079","1,236","1,236"
"강원도 속초시 (4221000000)","81,682","6,052","6,052","40,248","3,041","3,041","41,434","3,011","3,011","81,786","5,961","5,961","40,420","3,000","3,000","41,366","2,961","2,961","82,665","5,859","5,859","40,965","2,981","2,981","41,700","2,878","2,878"
"강원도 삼척시 (4223000000)","68,326","4,310","4,310","34,587","2,252","2,252","33,739","2,058","2,058","67,228","4,139","4,139","34,038","2,112","2,112","33,190","2,027","2,027","65,243","3,861","3,861","33,011","1,962","1,962","32,232","1,899","1,899"
"강원도 홍천군 (4272000000)","69,949","4,401","4,401","35,671","2,234","2,234","34,278","2,167","2,167","69,150","4,061","4,061","35,359","2,033","2,033","33,791","2,028","2,028","69,242","3,800","3,800","35,663","1,911","1,911","33,579","1,889","1,889"
"강원도 횡성군 (4273000000)","46,726","2,403","2,403","23,828","1,234","1,234","22,898","1,169","1,169","46,575","2,291","2,291","23,785","1,188","1,188","22,790","1,103","1,103","46,472","2,159","2,159","23,822","1,134","1,134","22,650","1,025","1,025"
"강원도 영월군 (4275000000)","39,730","1,873","1,873","20,493","993","993","19,237","880","880","39,127","1,779","1,779","20,143","943","943","18,984","836","836","38,662","1,677","1,677","19,986","889","889","18,676","788","788"
"강원도 평창군 (4276000000)","42,610","2,212","2,212","21,771","1,108","1,108","20,839","1,104","1,104","42,106","2,036","2,036","21,550","1,032","1,032","20,556","1,004","1,004","41,681","1,868","1,868","21,321","920","920","20,360","948","948"
"강원도 정선군 (4277000000)","37,700","2,032","2,032","19,595","1,077","1,077","18,105","955","955","37,271","1,896","1,896","19,360","986","986","17,911","910","910","36,870","1,736","1,736","19,174","893","893","17,696","843","843"
"강원도 철원군 (4278000000)","46,413","3,469","3,469","24,408","1,781","1,781","22,005","1,688","1,688","45,584","3,446","3,446","23,767","1,772","1,772","21,817","1,674","1,674","44,699","3,365","3,365","23,216","1,706","1,706","21,483","1,659","1,659"
"강원도 화천군 (4279000000)","25,084","1,975","1,975","13,603","994","994","11,481","981","981","24,917","1,888","1,888","13,495","948","948","11,422","940","940","24,857","1,791","1,791","13,472","899","899","11,385","892","892"
"강원도 양구군 (4280000000)","23,408","1,935","1,935","12,462","967","967","10,946","968","968","22,764","1,887","1,887","12,082","943","943","10,682","944","944","22,278","1,702","1,702","11,829","861","861","10,449","841","841"
"강원도 인제군 (4281000000)","32,136","2,699","2,699","17,349","1,423","1,423","14,787","1,276","1,276","31,672","2,592","2,592","17,143","1,363","1,363","14,529","1,229","1,229","31,694","2,499","2,499","17,084","1,273","1,273","14,610","1,226","1,226"
"강원도 고성군 (4282000000)","28,144","1,345","1,345","14,729","682","682","13,415","663","663","27,260","1,348","1,348","14,114","691","691","13,146","657","657","26,757","1,273","1,273","13,802","651","651","12,955","622","622"
"강원도 양양군 (4283000000)","27,347","1,356","1,356","13,900","693","693","13,447","663","663","27,726","1,384","1,384","14,099","719","719","13,627","665","665","27,946","1,350","1,350","14,220","692","692","13,726","658","658"
"충청북도  (4300000000)","1,599,252","133,659","133,659","808,971","68,290","68,290","790,281","65,369","65,369","1,600,007","129,285","129,285","810,384","66,062","66,062","789,623","63,223","63,223","1,600,837","123,371","123,371","811,591","63,068","63,068","789,246","60,303","60,303"
"충청북도 청주시 (4311000000)","837,749","79,483","79,483","421,774","40,641","40,641","415,975","38,842","38,842","839,566","77,033","77,033","422,864","39,289","39,289","416,702","37,744","37,744","844,993","74,249","74,249","425,848","37,888","37,888","419,145","36,361","36,361"
"충청북도 청주시 상당구 (4311100000)","176,818","14,984","14,984","88,060","7,663","7,663","88,758","7,321","7,321","178,352","14,779","14,779","88,765","7,540","7,540","89,587","7,239","7,239","190,034","16,082","16,082","94,480","8,154","8,154","95,554","7,928","7,928"
"충청북도 청주시 서원구 (4311200000)","209,404","17,564","17,564","104,071","8,967","8,967","105,333","8,597","8,597","203,209","15,852","15,852","100,853","8,042","8,042","102,356","7,810","7,810","194,720","13,842","13,842","96,695","7,069","7,069","98,025","6,773","6,773"
"충청북도 청주시 흥덕구 (4311300000)","254,302","24,119","24,119","128,949","12,346","12,346","125,353","11,773","11,773","262,137","24,690","24,690","132,999","12,594","12,594","129,138","12,096","12,096","265,866","24,206","24,206","134,958","12,334","12,334","130,908","11,872","11,872"
"충청북도 청주시 청원구 (4311400000)","197,225","22,816","22,816","100,694","11,665","11,665","96,531","11,151","11,151","195,868","21,712","21,712","100,247","11,113","11,113","95,621","10,599","10,599","194,373","20,119","20,119","99,715","10,331","10,331","94,658","9,788","9,788"
"충청북도 충주시 (4313000000)","210,504","15,671","15,671","106,222","7,900","7,900","104,282","7,771","7,771","210,737","15,330","15,330","106,569","7,766","7,766","104,168","7,564","7,564","210,186","14,581","14,581","106,273","7,384","7,384","103,913","7,197","7,197"
"충청북도 제천시 (4315000000)","135,386","9,760","9,760","67,792","4,912","4,912","67,594","4,848","4,848","134,617","9,329","9,329","67,459","4,724","4,724","67,158","4,605","4,605","133,018","8,740","8,740","66,705","4,462","4,462","66,313","4,278","4,278"
"충청북도 보은군 (4372000000)","33,680","1,760","1,760","16,834","909","909","16,846","851","851","32,949","1,563","1,563","16,531","812","812","16,418","751","751","32,412","1,464","1,464","16,292","749","749","16,120","715","715"
"충청북도 옥천군 (4373000000)","51,465","2,953","2,953","25,911","1,526","1,526","25,554","1,427","1,427","51,023","2,781","2,781","25,707","1,462","1,462","25,316","1,319","1,319","50,527","2,590","2,590","25,489","1,351","1,351","25,038","1,239","1,239"
"충청북도 영동군 (4374000000)","49,715","2,719","2,719","24,663","1,421","1,421","25,052","1,298","1,298","48,738","2,582","2,582","24,181","1,345","1,345","24,557","1,237","1,237","47,475","2,336","2,336","23,624","1,190","1,190","23,851","1,146","1,146"
"충청북도 증평군 (4374500000)","37,317","3,748","3,748","19,229","1,916","1,916","18,088","1,832","1,832","37,392","3,599","3,599","19,350","1,834","1,834","18,042","1,765","1,765","36,807","3,242","3,242","19,129","1,679","1,679","17,678","1,563","1,563"
"충청북도 진천군 (4375000000)","78,218","7,575","7,575","40,839","3,871","3,871","37,379","3,704","3,704","81,084","7,765","7,765","42,388","3,992","3,992","38,696","3,773","3,773","83,718","7,728","7,728","43,836","3,993","3,993","39,882","3,735","3,735"
"충청북도 괴산군 (4376000000)","39,133","1,499","1,499","19,924","736","736","19,209","763","763","39,163","1,425","1,425","20,013","721","721","19,150","704","704","39,393","1,346","1,346","20,225","675","675","19,168","671","671"
"충청북도 음성군 (4377000000)","95,830","7,105","7,105","50,546","3,723","3,723","45,284","3,382","3,382","94,982","6,587","6,587","50,264","3,440","3,440","44,718","3,147","3,147","93,153","5,894","5,894","49,388","3,070","3,070","43,765","2,824","2,824"
"충청북도 단양군 (4380000000)","30,255","1,386","1,386","15,237","735","735","15,018","651","651","29,756","1,291","1,291","15,058","677","677","14,698","614","614","29,155","1,201","1,201","14,782","627","627","14,373","574","574"
"충청남도  (4400000000)","2,126,282","189,024","189,024","1,082,009","96,905","96,905","1,044,273","92,119","92,119","2,123,709","181,907","181,907","1,081,938","93,227","93,227","1,041,771","88,680","88,680","2,121,029","172,628","172,628","1,082,634","88,428","88,428","1,038,395","84,200","84,200"
"충청남도 천안시 (4413000000)","646,075","66,151","66,151","329,079","33,864","33,864","316,996","32,287","32,287","652,258","64,503","64,503","332,447","32,979","32,979","319,811","31,524","31,524","658,808","62,156","62,156","336,221","31,784","31,784","322,587","30,372","30,372"
"충청남도 천안시 동남구 (4413100000)","257,978","22,596","22,596","130,988","11,686","11,686","126,990","10,910","10,910","259,411","21,867","21,867","131,586","11,276","11,276","127,825","10,591","10,591","258,009","20,449","20,449","130,719","10,536","10,536","127,290","9,913","9,913"
"충청남도 천안시 서북구 (4413300000)","388,097","43,555","43,555","198,091","22,178","22,178","190,006","21,377","21,377","392,847","42,636","42,636","200,861","21,703","21,703","191,986","20,933","20,933","400,799","41,707","41,707","205,502","21,248","21,248","195,297","20,459","20,459"
"충청남도 공주시 (4415000000)","107,581","6,426","6,426","53,979","3,345","3,345","53,602","3,081","3,081","106,474","6,198","6,198","53,343","3,210","3,210","53,131","2,988","2,988","104,545","5,773","5,773","52,297","3,000","3,000","52,248","2,773","2,773"
"충청남도 보령시 (4418000000)","101,990","6,870","6,870","51,580","3,463","3,463","50,410","3,407","3,407","101,114","6,536","6,536","51,146","3,279","3,279","49,968","3,257","3,257","100,229","6,137","6,137","50,807","3,085","3,085","49,422","3,052","3,052"
"충청남도 아산시 (4420000000)","312,822","36,652","36,652","161,546","18,764","18,764","151,276","17,888","17,888","314,395","35,073","35,073","162,694","18,014","18,014","151,701","17,059","17,059","316,129","32,946","32,946","164,115","16,919","16,919","152,014","16,027","16,027"
"충청남도 서산시 (4421000000)","174,162","16,516","16,516","89,793","8,534","8,534","84,369","7,982","7,982","174,690","16,038","16,038","90,348","8,247","8,247","84,342","7,791","7,791","175,591","15,446","15,446","91,399","7,934","7,934","84,192","7,512","7,512"
"충청남도 논산시 (4423000000)","120,230","8,026","8,026","60,113","4,116","4,116","60,117","3,910","3,910","118,842","7,714","7,714","59,406","3,964","3,964","59,436","3,750","3,750","116,675","7,232","7,232","58,316","3,709","3,709","58,359","3,523","3,523"
"충청남도 계룡시 (4425000000)","43,731","4,532","4,532","21,674","2,308","2,308","22,057","2,224","2,224","42,971","4,173","4,173","21,338","2,123","2,123","21,633","2,050","2,050","42,822","3,863","3,863","21,343","1,952","1,952","21,479","1,911","1,911"
"충청남도 당진시 (4427000000)","167,770","17,331","17,331","88,423","8,888","8,888","79,347","8,443","8,443","167,042","16,622","16,622","88,299","8,511","8,511","78,743","8,111","8,111","166,249","15,561","15,561","88,206","7,950","7,950","78,043","7,611","7,611"
"충청남도 금산군 (4471000000)","53,222","3,059","3,059","26,836","1,572","1,572","26,386","1,487","1,487","52,257","2,797","2,797","26,309","1,424","1,424","25,948","1,373","1,373","51,413","2,565","2,565","25,928","1,305","1,305","25,485","1,260","1,260"
"충청남도 부여군 (4476000000)","68,078","3,343","3,343","33,721","1,757","1,757","34,357","1,586","1,586","66,740","3,168","3,168","33,049","1,688","1,688","33,691","1,480","1,480","65,354","2,924","2,924","32,374","1,553","1,553","32,980","1,371","1,371"
